County,Market Name,Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Oneida,Wagner Farms Farm Stand,5841 Old Oneida Rd. Rome,5841 Old Oneida Rd,Rome,NY,13440,Ronald Wagner,3153395182,http://wagnerfarmsny.com/,Daily  10am-6pm,Year-round,YR,Y,N,N,Y,43.1805,-75.50086,"(43.1805, -75.50086)"
Rockland,Perez Farm Stand-Monsey,40 Robert Pitt Dr Monsey,40 Robert Pitt Dr,Monsey,NY,10952,Javier or Estella Perez,8453810399,,Sunday 10am-3pm,June 21-October 25,M,Y,N,N,Y,41.11129,-74.06488,"(41.11129, -74.06488)"
Monroe,Curbside Market-Upper Square Falls,"Merrimac Street Parking Lot, 396 Hudson Ave.  Rochester 14605",396 Hudson Ave,Rochester,NY,14605,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Sat 1:45pm-2:45pm,July 11-December 19,M/X,Y,Y,N,Y,43.17109,-77.60063,"(43.17109, -77.60063)"
Franklin,Akwesasne Farmers' Market,"30 Margaret Terrance Memorial Way, Akwesasne",30 Margaret Terrance Memorial Way,Akwesasne,NY,13655,Kim McElwain,5183583141,,"Thursday 11am-2pm, Saturday 10am-1pm",June 25-October 3,M,Y,N,N,Y,44.9867,-74.6755,"(44.9867, -74.6755)"
Steuben,Corning Farmers' Market,"1 Riverfront Plaza Gaffer District, Riverfront Centennial Park",Centennial Park East Tioga Ave,Corning,NY,14830,Matthew Luma,6079376292,http://www.gafferdistrict.com,Thursday  10am-3pm,June 4-October 29,M,Y,N,N,Y,42.1443,-77.05339,"(42.1443, -77.05339)"
Queens,Sunnyside Greenmarket,41-15 Skillman Ave. at 42nd St,Skillman Ave and 42nd St,Sunnyside,NY,11104,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/queens/sunnyside,Saturday  8am-2pm,Year-round,YR,Y,Y,N,Y,40.74694,-73.92139,"(40.74694, -73.92139)"
Dutchess,Beacon Farmers' Market,"Veteran's Place, btwn Henry & Main st.",Veteran's Place,Beacon,NY,12508,Sember Weinman,8452314424,http://www.beaconfarmersmarket.org,Sunday  10am-3pm,May 3-November 16,P/M,Y,Y,Y,Y,41.50377,-73.96848,"(41.50377, -73.96848)"
Sullivan,Mamakating Farmers Market,2948 Route 209 Wurtsboro,2948 Route 209 Wurtsboro,Wurtsboro,NY,12790,Fred Harding,8458202932,http://www.visitmamakating.org,Friday 4pm-7pm,June 5-September 4,M,Y,N,N,Y,41.56637,-74.49704,"(41.56637, -74.49704)"
Queens,Rockaway Youth Task Force Farm Stand,310 Beach 58th Street,310 Beach 58th Street,Far Rockaway,NY,11691,Tamera Jacobs,7186730263,http://www.rytf.org,Saturday  9am-3pm,July 6-November 21,M,Y,Y,N,Y,40.59453,-73.78803,"(40.59453, -73.78803)"
Rensselaer,Veggie Mobile Sprout-Burns Apts,720 Federal St. Troy,720 Federal Street,Troy,NY,12180,Audrey Bridge,5182748685,http://www.capitalroots.org,Thu  12:30pm-1:15pm,Year-round,YR,Y,Y,Y,Y,42.733148,-73.684555,"(42.733148, -73.684555)"
Madison,Cottage Lawn Farmers' Market,"435 Main St. Oneida, Madison Co. Historical Society",435 Main St.,Oneida,NY,13421,Colleen Donahue,3153634136,http://www.mchsfarmersmarket.org/,Tuesday  3pm-7pm,May 26-September 1,P/M,Y,N,N,Y,43.08719,-75.64705,"(43.08719, -75.64705)"
Jefferson,Bushgardens Farm Stand,10371 NYS Route 26 Carthage,10371 NYS Route 26,Carthage,NY,13619,Chris Bush,3157836745,,"Daily  6am-6pm, Except Wed 3pm-6pm",May 15-November 1,M,Y,N,N,Y,43.91954,-75.58686,"(43.91954, -75.58686)"
Columbia,Copake Hillsdale Farmers' Market,Roeliff Jansen Park 9140 Route 22,9140 Route 22,Hillsdale,NY,12529,Diane Creed,5183251430,http://www.copakehillsdalefarmersmarket.com,Saturday  9am-1pm,May 23-October 31,P/M/X,Y,Y,N,Y,42.17077,-73.51771,"(42.17077, -73.51771)"
Ulster,Kingston WINTER Farmers' Market,"Bethany Hall Old Dutch Church Outside, 272 Wall Street corner Wall & Main St.",272 Wall Street,Kingston,NY,12401,Laura Crimmins,6462624672,http://www.kingstonfarmersmarket.org,Alt Saturdays  10am-2pm,December 7-April 25,X/W/P,N,Y,N,Y,41.93286,-74.01884,"(41.93286, -74.01884)"
Chautauqua,Fredonia WINTER Farmers' Market,329 East Main St. (Rt 20) Masonic Lodge,321 East Main St. (Rte 20),Fredonia,NY,14063,Rosemary Joy,7164107313,http://www.facebook.com/FredoniaFarmersMarket,Saturday 10am-1pm,"Nov 7-May 8,2021",M/X/W/P,Y,Y,N,Y,42.44764,-79.315,"(42.44764, -79.315)"
Columbia,City of Hudson Farmers' Market,DMV parking lot Sixth & Columbia Sts.,Columbia St and North 6th St,Hudson,NY,12534,Virginia Ambrose,5188212453,http://www.hudsonfarmersmarketny.com,Saturday  9am-1pm,April 26-November 21,P/M,Y,Y,N,Y,42.24866,-73.78369,"(42.24866, -73.78369)"
Orleans,Gardner's Gardens Farm Stand,14350 Northwood Dr. Albion,14350 Northwood Dr.,Albion,NY,14411,Shauna Gardner,5855902437,http://www.facebook.com/gardnersheirloom/,Monday 3pm-4:30pm,June 1-October 26,M,Y,N,N,Y,43.25845,-78.19669,"(43.25845, -78.19669)"
Erie,Hamburg Farmers' Market,45 Church St.,45 Church St.,Hamburg,NY,14075,Jamie Decker,7166497917,http://www.southtownsregionalchamber.org/explore-hamburg/farmers-market,Saturday  7:30am-1pm,May 2-October 31,P/M,Y,N,N,Y,42.71677,-78.82994,"(42.71677, -78.82994)"
Albany,Veggie Mobile-South Mall Towers,101 S. Pearl St. Albany,101 South Pearl Street,Albany,NY,12207,Audrey Bridge,5182748685,http://www.capitalroots.org,Fri  11am-12:15pm,Year-round,YR,Y,Y,Y,Y,42.6465,-73.75482,"(42.6465, -73.75482)"
Bronx,Lincoln Hospital Fri Greenmarket,234 E 149th St btwn Park and Morris Aves Bronx,East 149th St and Morris Ave,Bronx,NY,10451,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Friday  8am-3pm,Year-round,YR,Y,Y,N,Y,40.8174,-73.92276,"(40.8174, -73.92276)"
Bronx,Eastchester GrowNYC Farm Stand,E 229th St at Schieffelin Ave Bronx,E 229th St at Schieffelin Ave,Bronx,NY,10466,Siobahn Keys,2127887476,http://www.grownyc.org,Thursday 9:30am-3pm,July 7-November 20,M,Y,Y,N,Y,40.88504,-73.84314,"(40.88504, -73.84314)"
Suffolk,Rocky Point Farmers' & Artisan Market,Old Depot Park Prince & Broadway,115 Prince Road,Rocky Point,NY,11778,Virginia Heslin,6317445787,http://www.rockypointfarmersmarket.org;www.rockypointfarmersmarket.wordpress.com,Sunday  8am-1pm,May 31-November 22,P/M,Y,N,N,Y,40.94927,-72.92391,"(40.94927, -72.92391)"
Tompkins,Ithaca Farmers' Market (East Hill Wed),East Hill Plaza 380 Pine Tree Rd.,380 Pine Tree Road,Ithaca,NY,14850,Kelly Sauve,6072737109,http://www.ithacamarket.com,Wednesday  4pm-7pm,April 5-October 28,P/M,Y,N,N,Y,42.4385,-76.46559,"(42.4385, -76.46559)"
Seneca,Seneca Falls Farmers' Market,People's Park  15 Water St.,Water St and Bridge St,Seneca Falls,NY,13148,Gregg Zellers,3153384359,http://www.senecamarket.com,Tuesday  3pm-7pm,June 16-October 13,M,Y,Y,N,Y,42.91008,-76.80086,"(42.91008, -76.80086)"
Wyoming,Warsaw Farm Stand,"Full Gospel Church parking lot, 2444 N.Main St. Warsaw",2444 N. Main St.,Warsaw,NY,14569,Patricia Reiter,5855911358,,Thursday  11am-3pm,July 9-October 1,M,Y,N,N,Y,42.74796,-78.13257,"(42.74796, -78.13257)"
Bronx,Mott Haven Farm Stand,545 East 142nd St. Bronx,545 East 142nd Street,Bronx,NY,10454,Rachel Gill,7185083156,http://www.bronxworks.org,Monday  9am-3pm,July 6-November 16,M,N,N,N,Y,40.80979,-73.91585,"(40.80979, -73.91585)"
Erie,Springville Farmers' Market,Gentner Auction 341 W. Main St. (Rt. 39),341 West Main St,Springville,NY,14141,Donna Goldhawk,7165600198,http://www.facebook.com/GENTNERSCOMMISSIONMARKET/,"Wednesday  7am-3pm, winter hours change",Year-round,YR,Y,N,N,Y,42.50906,-78.67989,"(42.50906, -78.67989)"
Monroe,Whittier Fruit Farm Stand,219 Whittier Road  Rochester,219 Whittier Road,Rochester,NY,14624,Judy Russell,5857481898,http://www.whittierfruitfarm.com,Daily 12pm-4pm,July 15-November 6,M,Y,N,N,Y,43.14905,-77.77737,"(43.14905, -77.77737)"
Schenectady,Schenectady Greenmarket,Franklin St and Jay St. near City Hall Schenectady,Franklin St and Jay St,Schenectady,NY,12305,Cheryl Whilby,5189860318,http://www.schenectadygreenmarket.org,Sunday  10am-2pm,May 3-October 25,P/M,Y,Y,Y,Y,42.81372,-73.94015,"(42.81372, -73.94015)"
Suffolk,Thera Farms Farm Stand,1725 Brentwood Road corner of commack rd Brentwood,1725 Brentwood Road,Brentwood,NY,11717,Teddy Bolkas,6314785229,https://www.facebook.com/TheraFarms/,Daily 9am-5pm,June 1-October 1,M,Y,N,N,Y,40.77235,-73.24614,"(40.77235, -73.24614)"
Schuyler,Watkins Glen Farmers' Market,Lafayette Park 4th and Decatur Sts.,Fifth St and Porter St,Watkins Glen,NY,14891,Jylle Benson-Gauss,6075462351,http://www.facebook.com/Watkins-Glen-Farmers-Market-132465933495746/,Friday  3pm-7pm,May 26-October 30,P/M,Y,N,N,Y,42.38096,-76.86954,"(42.38096, -76.86954)"
Putnam,Hudson Valley Regional Farmers' Market,15 Mt Ebo Rd South Brewster,15 Mt Ebo Drive,Brewster,NY,10509,Melissa Kamin,8458789078,http://www.hudsonvalleyfarmersmarket.org,Sunday  10am-2pm,Year-round,YR,N,N,N,Y,41.43416,-73.57263,"(41.43416, -73.57263)"
Orange,Newburgh Mall Farmers' Market,Newburgh Mall Parking lot  1401 Route 300,1401 Route 300,Newburgh,NY,12550,Debbie Gaito,8455641400,http://www.newburghmall.com,Saturday  10am-2pm,July 18-October 17,M,Y,N,N,Y,41.51758,-74.0714,"(41.51758, -74.0714)"
Albany,Veggie Mobile Sprout-St. Sophia/Holy Wisdom,426 Whitehall Road Albany,440 Whitehall Road,Albany,NY,12208,Audrey Bridge,5182748685,http://www.capitalroots.org,Wed 12:15pm-12:35pm,Year-round,YR,Y,Y,Y,Y,42.65244,-73.81416,"(42.65244, -73.81416)"
Bronx,Norwood GrowNYC Farm Stand,E Gun Hill Rd. & Dekalb Ave.,Dekalb Ave. and East Gun Hill Rd.,Bronx,NY,10467,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Thursday  8:30am-4pm,Year-round,YR,Y,Y,N,Y,40.88223,-73.88048,"(40.88223, -73.88048)"
Clinton,Rulfs Orchard Farm Stand,531 Bear Swamp Road Peru,531 Bear Swamp Road,Peru,NY,12972,Shannon Wilkins,5186438636,http://www.rulfsorchard.com,Daily 6am-6pm,June-November,M,Y,Y,N,Y,44.5786,-73.49804,"(44.5786, -73.49804)"
Dutchess,Obercreek Farm Stand,81 New Hamburg Road Wappingers Falls,87 New Hamburg Road,Wappingers Falls,NY,12590,Nina Doig,8452980888,http://www.obercreekfarm.com,"Wed-Fri 10am-6pm, Sat-Sun 10am-5pm",Year-round,YR,Y,Y,N,Y,41.58378,-73.93705,"(41.58378, -73.93705)"
Monroe,Curbside Market-Rochester View Apartments,4365 W Henrietta Road Henrietta,4365 W Henrietta Road,Henrietta,NY,14467,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Mon 3:15pm-4:15pm,July 6-December 14,M/X,Y,Y,N,Y,43.06563,-77.64833,"(43.06563, -77.64833)"
Saratoga,Ballston Spa Thursday Farmers' Market,"Wiswall Park, Front Street","Wiswall Park, Front Street",Ballston Spa,NY,12020,Ellen Mottola,5188852772,http://www.ballston.org/category/farmers-market/,Thursday 3pm-6pm,June 20-September 26,M,N,N,N,Y,43.00241,-73.85154,"(43.00241, -73.85154)"
Schoharie,Barber Family Farm Stand,3617 State Route 30 Middleburgh,3617 State Route 30,Fulton,NY,12122,Sarah Hooper,5188275454,http://www.barbersfarm.com,"Daily 9am-5:30pm, (January-May, Sat/Sun 9am-3pm)",Year-round,YR,Y,Y,N,Y,42.58123,-74.39189,"(42.58123, -74.39189)"
Monroe,Curbside Market-Danforth Towers,140 West Ave Rochester,140 West Avenue,Rochester,NY,14611,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Thu  11:45am-12:45pm,July 9-December 17,M/X,Y,Y,N,Y,43.15038,-77.64166,"(43.15038, -77.64166)"
Oswego,Guppy's Berry Farm Farm Stand,512 County Route 26  West Monroe,512 County Route 26,West Monroe,NY,13617,Elaine Guppy,3156257920,http://www.guppysberryfarmllc.com,"Wed-Fri  Sun  9am-2pm, Saturday  9am-4pm",July 13-September 30,M,Y,N,N,Y,43.35052,-76.03094,"(43.35052, -76.03094)"
Kings,Bensonhurst Greenmarket,8118 18th Ave. btwn 81st & 82nd Sts.,8100 18th Ave,Brooklyn,NY,11214,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Sunday  9am-4pm,May 31-November 29,M,Y,Y,N,Y,40.60958,-73.99944,"(40.60958, -73.99944)"
Monroe,Curbside Market-Lake Tower,321 Lake Ave. Rochester,321 Lake Ave.,Rochester,NY,14608,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Tue 11:45pm-1pm,July 7-December 15,M/X,Y,Y,N,Y,43.17054,-77.62751,"(43.17054, -77.62751)"
New York,Harvest Home Lenox Ave. Farmers' Market,Lenox Ave. btwn W 117th & W 118th Sts. New York,150 Lenox Avenue,New York,NY,10027,Maritza Owens,2128283361,http://www.harvesthomefm.org,Saturday  8am-4pm,June 27-November 21,M,Y,Y,N,Y,40.80295,-73.9489,"(40.80295, -73.9489)"
Bronx,BronxWorks Farm Stand,1130 Grand Concourse,1130 Grand Concourse,Bronx,NY,10456,Rachel Gill,7185083156,,Thursday  10am-4pm,July 9-November 19,M,N,N,N,Y,40.83256,-73.9192,"(40.83256, -73.9192)"
Westchester,TaSH Farmers' Market,Patriots Park Route 9  Sleepy Hollow,Patriots Park Route 9,Sleepy Hollow,NY,10591,Linda Eder,9144717437,http://www.tashfarmersmarket.org,Saturday  8:30am-2pm,May 23-November 21,P/M,Y,Y,N,Y,41.08525,-73.85924,"(41.08525, -73.85924)"
Cortland,Dave's Veggies Farm Market,5178 NYS Route 41 Homer,5178 NY-41,Homer,NY,13077,David Root,6077494955,http://www.facebook.com/daves.veggies,Daily  12pm-6pm,May 10-October 31,P/M,Y,Y,N,Y,42.659118,-76.203042,"(42.659118, -76.203042)"
Steuben,Hornell Farmers' Market,1 Steuben Sq Hornell,1 Steuben Sq,Hornell,NY,14843,Valorie Whitehall,6073249786,http://www.facebook.com/hornellfarmersmarket,Saturday 10am-7pm,May 30-September 26,P/M,Y,N,N,Y,42.32902,-77.66062,"(42.32902, -77.66062)"
Albany,Altamont Orchards Farm Stand,6654 Dunnsville Road Altamont,6654 Dunnsville Road,Altamont,NY,12009,Jim Abbruzzese,5188616515,http://www.altamontorchards.com,"Daily  9:30am-5pm, hours change Nov 28",Sept 4-December 24,M/X,Y,N,N,Y,42.72256,-74.01493,"(42.72256, -74.01493)"
Steuben,Painted Post Farmers' Market,"Erwin Museum 277 Steuben Street, corner of High St.",277 Steuben Street,Painted Post,NY,14870,Cathy Halm,6075278730,http://www.facebook.com/PaintedPostFarmersMarket/,Saturday  10am-2pm,May 2-October 31,P/M,Y,N,N,Y,42.16134,-77.0919,"(42.16134, -77.0919)"
Monroe,Curbside Market-DePaul Ridgeview,109 Marburger St. Rochester,109 Marburger Street,Rochester,NY,14621,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Wed 4:15pm-5:15pm,July 8-December 16,M/X,Y,Y,N,Y,43.19375,-77.6078,"(43.19375, -77.6078)"
Erie,MAP Mobile Market-Hispanics United,"254 Virginia St., Buffalo, NY 14201",254 Virginia St.,Buffalo,NY,14201,Danielle Rovillo,7168825327,http://www.mass-ave.org,Thursday 11am-1pm,June 19-December 31,M/X,Y,Y,N,Y,42.89508,-78.88197,"(42.89508, -78.88197)"
Kings,Urban Oasis Farmers' Market,"Kingsboro Psychiatric Center, 681 Clarkson Ave. btwn Troy Ave & 43rd St.",681 Clarkson Ave,Brooklyn,NY,11203,Michelle Almonte,7182217132,,Wed  2pm-5:30pm,June 26-November 4,M,Y,N,N,Y,40.65621,-73.93741,"(40.65621, -73.93741)"
Monroe,The Old Farm Market Farm Stand,80 Gates Greece Townline Rd Rochester,80 Gates Greece Townline Rd,Rochester,NY,14606,Brook DeConinck,5853634785,https://www.facebook.com/OldFarmMarket/,"Mon-Fri 10am-5pm, Sat/Sun 9am-2pm",July 1-October 1,M,Y,N,N,Y,43.17936,-77.7086,"(43.17936, -77.7086)"
Greene,Stoneledge Farm Stand,145 Garcia Lane Leeds,145 Garcia Lane,Leeds,NY,12451,Candice Kavakos,5182429286,http://www.stoneledge.farm,Sat/Sun 9am-3pm,June 6-October 11,M,Y,N,N,Y,42.27878,-73.95216,"(42.27878, -73.95216)"
Kings,Cypress Hills  GrowNYC Farm Stand,Fulton St. btwn Richmond & Logan Sts.,Fulton St. and Logan St.,Brooklyn,NY,11208,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Friday  10am-5pm,July 17-November 20,M,Y,Y,N,Y,40.68206,-73.87788,"(40.68206, -73.87788)"
Chenango,Norwich Farmers' Market,East Park 2 North Broad St.,North Broad St. and Main St.,Norwich,NY,13815,Sandy Pierce,6073344928,http://www.facebook.com/NorwichNYFarmersMarket,Wednesday  10am-2pm,Year-round,YR,Y,Y,N,Y,42.53055,-75.52365,"(42.53055, -75.52365)"
New York,Domino Park Greenmarket,15 River St Brooklyn,15 River St,Brooklyn,NY,11211,Siobahn Keys,2127887476,https://www.grownyc.org,Sunday 9am-3pm,July 12-November 22,M,Y,N,N,Y,40.71655,-73.96656,"(40.71655, -73.96656)"
Sullivan,Narrowsburg Farmers Market,7 Erie Avenue Narrowsburg,7 Eric Ave,Narrowsburg,NY,12764,Greg Swartz,5709820050,,Saturday 10am-1pm,May 16-October 31,M,Y,N,N,Y,41.6052,-75.06393,"(41.6052, -75.06393)"
Dutchess,Arlington Farmers' Market,"Vassar College Alumni Lawn , 123 Raymond Ave. Poughkeepsie",123 Raymond Ave,Poughkeepsie,NY,12603,Bob Legacy,8454712863,http://www.arlingtonhasit.org,Thursday  3pm-7pm,May 28-November 19,P/M,Y,N,N,Y,41.68187,-73.89636,"(41.68187, -73.89636)"
Allegany,Belmont Farmers' Market,5429 NYS Route 19N,5429 NYS Route 19 N,Belmont,NY,14813,Debra Wagoner,5856108836,,Thursday  11am-5pm,June 4-October 8,P/M,Y,N,N,Y,42.2356,-78.05212,"(42.2356, -78.05212)"
Kings,Hattie Carthan Community Farmers' Market,363-365 Clifton Place Brooklyn,365 Clifton Pl,Brooklyn,NY,11216,David Greaves,2125617327,http://www.hattiecarthancommunitymarket.com,Saturday  9am-3pm,July 11-November 21,M,Y,Y,N,Y,40.68965,-73.94879,"(40.68965, -73.94879)"
Wayne,The Apple Shed Farm Stand,"3391 Fairville Maple Ridge Rd.  , Newark",3391 Fairville Maple Ridge Rd,Newark,NY,14513,Barbara Wells,3153316294,http://www.theappleshed.com,Daily 9am-5pm,June 12-December 22,M/X,Y,N,N,Y,43.12967,-77.09774,"(43.12967, -77.09774)"
Albany,The Gade Farm Farm Stand,2479 Western Avenue Altamont,2479 Western Avenue,Altamont,NY,12009,Amy Castillo,5188698019,http://www.gadefarm.com,"Sunday  9am-5pm, Mon-Sat 9am-6pm",March 20-December 24,P/M/X,Y,N,N,Y,42.71055,-73.92593,"(42.71055, -73.92593)"
Nassau,Hempstead Community Farm Stand,99 Nichols Court,99 Nichols Court,Hempstead,NY,11550,Jacob Dixon,5165442955,http://www.choiceforall.org,Saturday  11am-4pm,Sept 5-October 24,M,Y,Y,N,Y,40.71148,-73.62851,"(40.71148, -73.62851)"
Monroe,Brighton WINTER Farmers' Market,Brookside Center  220 Idlewood Rd. Rochester,220 Idlewood Road,Rochester,NY,14618,Sue Gardner-Smith,5852698918,http://www.brightonfarmersmarket.org,Sunday  1pm-4pm,"Dec 6-May 2, 2021",X/W/P,N,Y,N,Y,43.11275,-77.56809,"(43.11275, -77.56809)"
Erie,Clinton Bailey Wed Farmers' Market,1443-1517 Clinton St. Buffalo,Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7162080003,http://www.clintonbaileymarket.com,Wednesday 7am-6pm,May 1-October 31,P/M,N,Y,N,Y,42.87206,-78.81997,"(42.87206, -78.81997)"
Bronx,Harvest Home Mt. Eden Farmers' Market,"Claremont Park, Mt. Eden PKWY  & Morris Ave",Mt Eden Pkwy and Morris Ave,Bronx,NY,10457,Maritza Owens,2128283361,http://www.harvesthomefm.org,Tue/Thu  8am-4pm,June 9-November 24,M,Y,Y,N,Y,40.84305,-73.90947,"(40.84305, -73.90947)"
Kings,East New York Farmers' Market I,613 New Lots Ave & Schench Ave. Brooklyn,613 New Lots Ave,Brooklyn,NY,11207,Ana Aguirre,7186497979,http://www.eastnewyorkfarms.org,Saturday  9am-3pm,June 27-November 14,M,Y,Y,N,Y,40.6647,-73.88659,"(40.6647, -73.88659)"
Dutchess,Share the Bounty Farm Stand,"Hudson River Healthcare , 3360 Route 343 Amenia",3360 Route 343,Amenia,NY,12501,Edward Frederick,8452067526,,Tuesday  9am-1pm,June 30-October 30,M,Y,N,N,Y,41.85035,-73.55065,"(41.85035, -73.55065)"
Kings,Graham Avenue Farmers' Market,Cook St. & Graham Ave.,Graham Ave and Cook St,Brooklyn,NY,11206,Betty Cooney,7183876643,http://www.grahamavenuebid.net,Saturday  9am-5pm,July 11-October 31,M,Y,Y,N,Y,40.70235,-73.94238,"(40.70235, -73.94238)"
Cayuga,Auburn Tue Farmers' Co-op Market,96 State Street  Curley's Restaurant Pkg Lot,96 State Street,Auburn,NY,13021,Mark Soper,3157048609,http://www.auburnfarmerscoopmarketinc.com,Tue 7am-2pm,June 2-October 27,M,Y,Y,N,Y,42.93401,-76.57007,"(42.93401, -76.57007)"
Niagara,Newfane Methodist Farmers' Market,2699 Main St. Newfane,2699 Main St.,Newfane,NY,14108,Amy Luckman,7167787011,,Wed  4:30pm-7pm,July 1-October 14,M,Y,N,N,Y,43.28365,-78.70879,"(43.28365, -78.70879)"
Niagara,Veggie Van MM-Carolyn's House YWCA,542 6th St Niagara Falls,542 6th,Niagara Falls,NY,14301,Jen Regan,7162990905,,Thursday 1pm-2pm,June 1-October 31,M,Y,Y,N,Y,43.09224,-79.05563,"(43.09224, -79.05563)"
Kings,Brownsville Pitkin  GrowNYC Farm Stand,Pitkin Ave. & Thomas Boyland St.,Pitkin Avenue and Thomas Boyland Street,Brooklyn,NY,11212,Siobahn Keys,2127887476,https://www.grownyc.org/farmstands,Saturday  9am-2pm,July 18-November 21,M,Y,Y,N,Y,40.66926,-73.91356,"(40.66926, -73.91356)"
Dutchess,Millerton Farmers' Market,6 Dutchess Ave. Millerton Methodist Church,6 Dutchess Ave.,Millerton,NY,12546,Christine Sergent,5187894259,http://www.millertonfarmersmarket.org/,Saturday 10am-2pm,Year-round,YR,Y,Y,N,Y,41.9543,-73.50977,"(41.9543, -73.50977)"
New York,Abingdon Square Greenmarket,601 Hudson St. at W 12th St.,Hudson St and W 12 St,New York,NY,10014,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/abingdon-square,Saturday  8am-2pm,Year-round,YR,Y,Y,N,Y,40.73755,-74.00568,"(40.73755, -74.00568)"
Steuben,Painted Post WINTER Market,304 South Hamilton St,227 Steuben Street,Painted Post,NY,14870,Cathy Halm,6075278730,http://www.facebook.com/paintedpostfarmersmarket,1st and 3rd Sat  11am-3pm,"November 2-March 21,2020",M/X/W/P,N,N,N,Y,42.16067,-77.09283,"(42.16067, -77.09283)"
Columbia,Martin's Farm Fresh Farm Stand,820 State Route 66 Hudson,820 State Route 66,Hudson,NY,12534,Hannah Martin,5188288781,,Mon-Sat  9am-5pm,June 1-November 1,M,Y,N,N,Y,42.27318,-73.72226,"(42.27318, -73.72226)"
Saratoga,Bowman Orchards Farm Stand,141 Sugarhill Road Rexford,141 Sugarhill Road,Rexford,NY,12148,Kevin Bowman,5183712042,http://www.bowmanorchards.com,Daily 9am-5pm,May 1-December 23,P/M/X,Y,N,N,Y,42.81576,-73.83953,"(42.81576, -73.83953)"
Onondaga,Syracuse Farm Fresh Mobile Market,"Contact market for locations & times, 315-345-0600",500 West Newell Street,Syracuse,NY,13205,Diane Turner,3153450600,https://ssinterfaithcdc.org/projects/farm-fresh-mobile-market/,"Contact market for locations & times, 315-345-0600",Year-round,YR,Y,Y,N,Y,43.016878,-76.153714,"(43.016878, -76.153714)"
Tompkins,Ithaca Farmers' Market (Steamboat Sun),"Steamboat Landing, 545 Third St. Extension off Rt. 13",545 Third Street,Ithaca,NY,14850,Kelly Sauve,6072737109,http://www.ithacamarket.com,Sunday  10am-3pm,April 5-December 22,P/M/X,Y,N,N,Y,42.44958,-76.50782,"(42.44958, -76.50782)"
Saratoga,Veggie Mobile Sprout-Mechanicville Sr Center,178 North Main Street,178 North Main Street,Mechanicville,NY,12118,Audrey Bridge,5182748685,http://www.capitalroots.org,Fri 2pm-2:45pm,Year-round,YR,Y,Y,Y,Y,42.90829,-73.68374,"(42.90829, -73.68374)"
Monroe,Curbside Market-Carriage Factory Apts,33 Litchfield St. Rochester,33 Litchfield Street,Rochester,NY,14608,Andrea Cuzenz,5854134069,http://www.foodlinkny.org,Tue 2:30pm-3:45pm,July 7-December 15,M/X,Y,Y,N,Y,43.15396,-77.62575,"(43.15396, -77.62575)"
Orleans,Roberts Farm Market,11170 Maple Ridge Rd. Medina,11170 Maple Ridge Rd.,Medina,NY,14103,Margaret Roberts,7165601200,http://www.robertsfarmmarket.com,"Mon-Sat 8am-6pm, Jan-Mar: Tue-Sat 9a-5p",Year-round,YR,Y,N,N,Y,43.20679,-78.40098,"(43.20679, -78.40098)"
Warren,Bolton Landing Farmers' Market,5 Cross St directly behind Town Hall,5 Cross Street,Bolton,NY,12814,Penelope Jewell,5184809118,http://www.boltonlandingfarmersmarket.com,Friday  9am-2pm,June 26-September 4,M,Y,N,N,Y,43.55744,-73.65727,"(43.55744, -73.65727)"
Cortland,Plunkett Farms Farm Stand,2180 Tower Road Cortland,2180 Tower Road,Cortland,NY,13045,John and Carla Plunkett,6077530001,,Daily 9am-5pm,July 1-October 31,M,Y,N,N,Y,42.55495,-76.13123,"(42.55495, -76.13123)"
Sullivan,Kauneonga Lake Farmers' Market,Village Square 3594 Rt 55 Kauneonga Lake,3594 State Route 55,Kauneonga Lake,NY,12749,Chris Cunningham,8455834350,http://www.kauneongalakefarmersmarket.org,Saturday  10am-1pm,June 27-September 5,M,Y,N,N,Y,41.68587,-74.83132,"(41.68587, -74.83132)"
Chautauqua,Fredonia Farmers' Market,"Village Hall Barker Commons , 9 Church St.",11 Church St,Fredonia,NY,14063,Thomas Degolier,7166802104,http://www.facebook.com/FredoniaFarmersMarket,Saturday  9am-1pm,May 16-October 31,P/M,Y,Y,N,Y,42.44064,-79.33235,"(42.44064, -79.33235)"
Madison,Debrucque's Produce Stand,3392 Seneca Turnpike Canastota,3392 Seneca Turnpike,Canastota,NY,13032,Gary J. Debrucque,3153801015,,"Mon-Fri  10am-5pm, Sat/Sun  9am-3pm",June 1-October 31,M,Y,N,N,Y,43.06975,-75.75169,"(43.06975, -75.75169)"
